id,label,type,name,source,source_id,uri,modifiers
000b46ee-184e-4379-939c-c15ae5c500c6,KeyEvent,key-event,"Activation, TGF-beta pathway",AOPWiki,,,[]
0016c32e-f214-4f29-adb1-4ccf5b361fb5,BiologicalTerm,biological-process,receptor-mediated endocytosis,GO,GO:0006898,,[]
002b4157-09a1-4793-b063-fc31f454f5b2,KeyEvent,key-event,"Endometrial squamous metaplasia, Increase",AOPWiki,,,[]
003157e6-7693-4774-b6d0-98739607f0b6,Chemical,chemical,Nikkomycins,DSSTox,DTXSID5058436,,"[""stressor""]"
00374c7d-36a9-4cba-b5c6-976527a938d6,BiologicalTerm,biological-action,pathological,WIKI,11,,[]
005e7a1a-7fe2-44fe-8854-5d62bc63b575,KeyEvent,key-event,"Alkylation, Protein",AOPWiki,,,[]
0065920d-f715-45a3-b758-0f194118fd3a,KeyEvent,key-event,"Increase, GABA",AOPWiki,,,[]
00670d07-a91c-42fa-894a-98033dedc35d,KeyEvent,key-event,"Reduction, Plasma vitellogenin concentrations",AOPWiki,,,[]
0069ed7d-938e-4dfe-8c35-a1b37c847933,KeyEvent,key-event,"Increased, locomotion",AOPWiki,,,[]
00723340-1368-4599-8061-1da9375258fc,Stressor,stressor,Carbamate pesticides,,,,"[""stressor""]"
0081ad2a-2b77-4be6-ab57-d37b9102b69b,KeyEvent,key-event,"Reduced, Food storage",AOPWiki,,,[]
00989384-d276-47ca-8b1d-6f03454633d1,KeyEvent,key-event,"Altered, Neurophysiology",AOPWiki,,,[]
009d5d2a-84d9-4277-8bf0-cbaf272963b3,KeyEvent,key-event,"Increase, Preneoplastic foci (hepatocytes)",AOPWiki,,,[]
00b8087d-b3e9-4ee0-803e-bbc380243552,Taxon,taxonomy,Crocuta crocuta,NCBI,9678,,[]
00c90f01-9316-43d6-a3cf-933abaa8d338,Chemical,chemical,Itraconazole,DSSTox,DTXSID3023180,,"[""stressor""]"
00f1c085-b61b-4c79-b650-27e50ea593fe,KeyEvent,key-event,Respiratory irritability,AOPWiki,,,[]
010b5c12-0075-4677-b391-107a863118e8,Stressor,stressor,Propylpyrazoletriol,,,,"[""stressor""]"
010dee2a-6670-419b-9b68-9098bb58a8df,BiologicalTerm,biological-object,Clara cell,CL,CL:0000158,,[]
0127e0ed-2be6-4563-89fb-6c55d8575c14,KeyEvent,key-event,"Binding, SH/SeH proteins involved in protection against oxidative stress",AOPWiki,,,[]
014e5a4b-8fd0-4131-9c47-f3cb0cfb4867,AOP,aop,AHR activation decreasing lung function via AHR-ARNT tox path,AOPWiki,,,[]
014ecef4-d568-481f-b314-edde91940b3e,KeyEvent,key-event,Early premature depolarizations,AOPWiki,,,[]
015867f7-7fe0-4810-95ef-9b17d3c1541e,AOP,aop,Increased adrenal glucocorticoid production leading to MASLD progression (3),AOPWiki,,,[]
0170fb10-7eb7-48e7-b126-c8d421009aab,AOP,aop,Binding of Alpha 1-Adrenergics to Antagonists Leading to Depression,AOPWiki,,,[]
0172502e-a586-4e25-9cf2-2f48ca34168b,Stressor,stressor,TCPOBOP,,,,"[""stressor""]"
01772fad-f998-40be-94cc-6eea19803c3e,BiologicalTerm,biological-process,retinoic acid biosynthetic process,GO,GO:0002138,,[]
017ede5b-c5f7-40a4-b55e-87b80a10220e,Stressor,stressor,Pyrethrins and Pyrethroids,,,,"[""stressor""]"
01a10d1f-894c-4cca-8dad-915269b82634,KeyEvent,key-event,Increased LCN2/iron complex,AOPWiki,,,[]
01a58dc3-809a-4dc6-a7d1-eafb219e7e47,BiologicalTerm,biological-process,hepatocyte proliferation,GO,GO:0072574,,[]
01abfeb7-63ee-4921-b666-549539fb898d,AOP,aop,thyroid follicular cell adenomas and carcinomas,AOPWiki,,,[]
01c5ba2f-66a8-42ee-884a-3b63315e3334,AOP,aop,Binding of antagonist to NMDARs impairs cognition,AOPWiki,,,[]
01cc7135-f562-4f58-a444-1dc141ec7d1b,Chemical,chemical,Adefovir dipivoxil,DSSTox,DTXSID5046487,,"[""stressor""]"
01d1a0a6-16bd-4814-9b85-9c66d81d781c,BiologicalTerm,biological-process,abnormal adult Leydig cell differentiation,MP,MP:0013604,,[]
01e6a901-77ed-43e7-a33e-ff81e0d58ba4,Taxon,taxonomy,cynomolgus monkey,NCBI,9541,,[]
01f42cb5-dd09-4798-b30b-7dc2f274a2f5,BiologicalTerm,biological-process,cell differentiation,GO,GO:0030154,,[]
01f8d4ec-809c-4308-9a65-f0727c867712,Stressor,stressor,"Hydrocarbons, various",,,,"[""stressor""]"
02253bf4-5693-4028-824a-f13e5c9a7ab1,KeyEvent,key-event,"Increased, cholesterol synthesis enzymes",AOPWiki,,,[]
0227e1d8-9394-4886-a849-d5613cccc51a,AOP,aop,SQLE accumulation leads to hepatotoxicity,AOPWiki,,,[]
022862dc-c0fa-4b22-b8b1-8ba20e60afab,AOP,aop,SARS-CoV-2 causes anosmia,AOPWiki,,,[]
